old_url,lang,lastmod,action,new_url,confidence,justification,gsc_clicks,gsc_impressions,ref_domains,final_decision
https://maximerit.com/,fr,2026-04-20,KEEP,/,HIGH,Page d’accueil — conservée.,,,,
https://maximerit.com/creation-de-services-et-developpement-dactivites/,fr,2026-05-12,301,/entreprises/,PENDING_GSC,Conseil/advisory → hub Entreprises.,,,,
https://maximerit.com/formations/,fr,2026-05-12,301,/entreprises/formation/,PENDING_GSC,Formations → Entreprises/Formation.,,,,
https://maximerit.com/management-des-projet/,fr,2026-05-12,301,/entreprises/,PENDING_GSC,Prestation IT/projets (dépriorisée) → hub Entreprises (candidat 410 si sans valeur).,,,,
https://maximerit.com/esg/,fr,2026-05-12,301,/entreprises/qhse-esg/,PENDING_GSC,ESG regroupé sous QHSE & ESG.,,,,
https://maximerit.com/language/en/our-strengths/,en,2026-04-28,301,/en/qui-nous-sommes/,PENDING_GSC,Institutionnel → À propos.,,,,
https://maximerit.com/language/en/who-are-we/,en,2026-04-28,301,/en/qui-nous-sommes/,PENDING_GSC,Institutionnel → À propos.,,,,
https://maximerit.com/language/en/sustainable-development/,en,2026-04-28,301,/en/entreprises/qhse-esg/,PENDING_GSC,ESG/environnement → QHSE & ESG.,,,,
https://maximerit.com/qui-nous-sommes/,fr,2026-04-28,KEEP,/qui-nous-sommes/,HIGH,Page institutionnelle « À propos » — URL FR conservée.,,,,
https://maximerit.com/accueil-et-integration/,fr,2026-04-28,301,/entreprises/externalisation-rh-paie/,PENDING_GSC,Prestation RH/paie → Entreprises/Externalisation RH & Paie.,,,,
https://maximerit.com/developpement-durable/,fr,2026-04-28,301,/entreprises/qhse-esg/,PENDING_GSC,Développement durable regroupé sous QHSE & ESG.,,,,
https://maximerit.com/nos-atouts/,fr,2026-04-28,301,/qui-nous-sommes/,PENDING_GSC,Contenu « nos atouts » intégré à la page À propos.,,,,
https://maximerit.com/language/en/environmental-and-social-impact-assessment/,en,2026-04-28,301,/en/entreprises/qhse-esg/,PENDING_GSC,ESG/environnement → QHSE & ESG.,,,,
https://maximerit.com/etude-dimpact-environnemental-et-social/,fr,2026-04-28,301,/entreprises/qhse-esg/,PENDING_GSC,Étude d’impact → QHSE & ESG.,,,,
https://maximerit.com/language/en/environmental-social-and-governance/,en,2026-04-28,301,/en/entreprises/qhse-esg/,PENDING_GSC,ESG/environnement → QHSE & ESG.,,,,
https://maximerit.com/language/en/human-resources-management/,en,2026-04-23,301,/en/entreprises/externalisation-rh-paie/,PENDING_GSC,Prestation RH/paie → Entreprises/Externalisation RH & Paie.,,,,
https://maximerit.com/gestion-des-ressources-humaines/,fr,2026-04-22,301,/entreprises/externalisation-rh-paie/,PENDING_GSC,Prestation RH/paie → Entreprises/Externalisation RH & Paie.,,,,
https://maximerit.com/project-management-et-it/,fr,2026-04-21,301,/entreprises/,PENDING_GSC,Prestation IT/projets (dépriorisée) → hub Entreprises (candidat 410 si sans valeur).,,,,
https://maximerit.com/finance-gestion/,fr,2026-04-21,301,/entreprises/finance-performance/,PENDING_GSC,Prestation finance → Entreprises/Finance & Performance.,,,,
https://maximerit.com/management-hygiene-qualite-et-securite/,fr,2026-04-20,301,/entreprises/qhse-esg/,PENDING_GSC,Prestation QHSE → Entreprises/QHSE & ESG.,,,,
https://maximerit.com/language/en/,en,2026-04-15,301,/en/,HIGH,Changement de structure de langue /language/en → /en (ADR-0002).,,,,
https://maximerit.com/language/en/request-quote/,en,2026-04-15,301,/en/contact/,PENDING_GSC,Contact/devis → page contact.,,,,
https://maximerit.com/demande-de-devis/,fr,2026-04-03,301,/contact/,PENDING_GSC,Demande de devis regroupée dans le formulaire de contact/lead.,,,,
https://maximerit.com/operations-supervisor/,fr,2025-12-15,301,/candidats/offres-demploi/,PENDING_GSC,Ancienne offre expirée → listing (Google : rediriger l’expiré vers une page pertinente).,,,,
